record_no,serial PRIMARY KEY,primary key,,
trophy_name,TEXT,"Trophy serial number; connects mezzanine to module and will be replaced frequently",,
mezzanine_name,TEXT,Mezzanine serial number; connects trophy and hexacontroller,,
station_name,TEXT,Station ID,,
start_use_timestamp,TIMESTAMP,Timestamp when this connection was set up,,
status,TEXT,null/in_use/discarded/unused etc.,,
comment,TEXT,,,
number_of_errors,INT,counter for number of erros encountered with this combination,,
number_of_uses,INT,counter for number of uses of this combination,,
