$$ PartName=frontside_inspection
$$ Author=
$$ MeasurementDate=2023-06-13T12:25:57
$$ Description=
$$ ExportBy=ZONE3
Feat. Type;Feat. Name;Value;Actual;Nominal;Dev.;Tol-;Tol+;Out of Tol.;Comment
Circle;Circle134;Y;-20.93017;-20.92990;0.00027;0.00000;0.00000;;
Circle;Circle135;X;-6.01834;-6.03986;-0.02153;0.00000;0.00000;;
Circle;Circle135;Y;-31.38781;-31.39607;-0.00826;0.00000;0.00000;;
Circle;Circle136;X;-24.12179;-24.16850;-0.04671;0.00000;0.00000;;
Circle;Circle136;Y;76.99437;76.74182;0.25256;0.00000;0.00000;;
Circle;Circle137;X;60.45500;60.39970;0.05530;0.00000;0.00000;;
Circle;Circle137;Y;41.76673;41.84982;-0.08309;0.00000;0.00000;;
Circle;Circle138;X;-5.97684;-6.04036;-0.06352;0.00000;0.00000;;
Circle;Circle138;Y;52.34630;52.32633;0.01997;0.00000;0.00000;;
Circle;Circle139;X;66.36801;66.46171;-0.09370;0.00000;0.00000;;
Circle;Circle139;Y;24.24053;24.41715;-0.17663;0.00000;0.00000;;
Circle;Circle140;X;48.40679;48.33574;0.07104;0.00000;0.00000;;
Circle;Circle140;Y;34.87461;34.88205;-0.00744;0.00000;0.00000;;
Circle;Circle141;X;-60.21653;-60.42017;-0.20364;0.00000;0.00000;;
Circle;Circle141;Y;20.96443;20.92860;0.03583;0.00000;0.00000;;
Circle;Circle142;X;-54.35533;-54.38011;-0.02478;0.00000;0.00000;;
Circle;Circle142;Y;10.49814;10.46364;0.03450;0.00000;0.00000;;
Circle;Circle143;X;-42.27180;-42.30011;-0.02831;0.00000;0.00000;;
Circle;Circle143;Y;10.48322;10.44921;0.03401;0.00000;0.00000;;
Circle;Circle144;X;48.37077;48.33587;0.03491;0.00000;0.00000;;
Circle;Circle144;Y;13.66541;13.95195;-0.28653;0.00000;0.00000;;
Circle;Circle145;X;60.48645;60.41987;0.06658;0.00000;0.00000;;
Circle;Circle145;Y;13.94112;13.95202;-0.01090;0.00000;0.00000;;
Circle;Circle146;X;72.57182;72.49983;0.07199;0.00000;0.00000;;
Circle;Circle146;Y;20.93438;20.94989;-0.01551;0.00000;0.00000;;
Circle;Circle147;X;30.25654;30.19989;0.05665;0.00000;0.00000;;
Circle;Circle147;Y;10.44816;10.44964;-0.00148;0.00000;0.00000;;
Circle;Circle148;X;18.25350;18.12593;0.12757;0.00000;0.00000;;
Circle;Circle148;Y;3.23394;3.48677;-0.25282;0.00000;0.00000;;
Circle;Circle149;X;-30.18051;-30.21007;-0.02956;0.00000;0.00000;;
Circle;Circle149;Y;3.51224;3.48648;0.02575;0.00000;0.00000;;
Circle;Circle150;X;-84.57300;-84.59005;-0.01705;0.00000;0.00000;;
Circle;Circle150;Y;0.05453;-0.00154;-0.05607;0.00000;0.00000;;
Circle;Circle151;X;78.59959;78.54605;0.05354;0.00000;0.00000;;
Circle;Circle151;Y;-17.45969;-17.44287;0.01682;0.00000;0.00000;;
Circle;Circle152;X;-72.50423;-72.50389;0.00035;0.00000;0.00000;;
Circle;Circle152;Y;-27.86522;-27.90937;-0.04415;0.00000;0.00000;;
Circle;Circle153;X;-42.28719;-42.29986;-0.01268;0.00000;0.00000;;
Circle;Circle153;Y;-31.37821;-31.40129;-0.02308;0.00000;0.00000;;
Circle;Circle154;X;54.41662;54.37818;0.03845;0.00000;0.00000;;
Circle;Circle154;Y;-38.38669;-38.37312;0.01358;0.00000;0.00000;;
Circle;Circle155;X;30.25611;30.21018;0.04594;0.00000;0.00000;;
Circle;Circle155;Y;-38.61956;-38.37326;0.24630;0.00000;0.00000;;
Circle;Circle156;X;12.12259;12.10020;0.02239;0.00000;0.00000;;
Circle;Circle156;Y;-41.84943;-41.85047;-0.00103;0.00000;0.00000;;
Circle;Circle157;X;-60.42307;-60.41980;0.00326;0.00000;0.00000;;
Circle;Circle157;Y;-41.82641;-41.86140;-0.03499;0.00000;0.00000;;
Circle;Circle158;X;-54.39006;-54.37970;0.01036;0.00000;0.00000;;
Circle;Circle158;Y;-59.27082;-59.30636;-0.03553;0.00000;0.00000;;
Circle;Circle159;X;-12.08121;-12.08376;-0.00255;0.00000;0.00000;;
Circle;Circle159;Y;-48.82742;-48.83911;-0.01169;0.00000;0.00000;;
Circle;Circle160;X;42.33107;42.30026;0.03081;0.00000;0.00000;;
Circle;Circle160;Y;-52.36038;-52.35029;0.01009;0.00000;0.00000;;
Circle;Circle161;X;24.17416;24.16836;0.00579;0.00000;0.00000;;
Circle;Circle161;Y;-69.78366;-69.76900;0.01467;0.00000;0.00000;;
Circle;Circle162;X;6.04903;6.04230;0.00673;0.00000;0.00000;;
Circle;Circle162;Y;-59.29315;-59.30400;-0.01085;0.00000;0.00000;;
Circle;Circle163;X;-42.30562;-42.29462;0.01100;0.00000;0.00000;;
Circle;Circle163;Y;-73.22779;-73.25629;-0.02850;0.00000;0.00000;;
Circle;Circle164;X;-24.17455;-24.16864;0.00591;0.00000;0.00000;;
Circle;Circle164;Y;-69.75126;-69.76878;-0.01753;0.00000;0.00000;;
Circle;Circle165;X;-12.24874;-12.08364;0.16510;0.00000;0.00000;;
Circle;Circle165;Y;-69.85494;-69.76921;0.08573;0.00000;0.00000;;
Circle;Circle166;X;6.10192;6.05038;0.05154;0.00000;0.00000;;
Circle;Circle166;Y;-73.23233;-73.25100;-0.01867;0.00000;0.00000;;
Circle;Circle167;X;42.32777;42.30038;0.02739;0.00000;0.00000;;
Circle;Circle167;Y;-73.23513;-73.25079;-0.01566;0.00000;0.00000;;
Circle;Circle168;X;48.37619;48.35032;0.02586;0.00000;0.00000;;
Circle;Circle168;Y;-62.81911;-62.80075;0.01836;0.00000;0.00000;;
Circle;Circle169;X;72.55488;72.50401;0.05086;0.00000;0.00000;;
Circle;Circle169;Y;-27.93014;-27.90851;0.02163;0.00000;0.00000;;
Circle;Circle170;X;-54.31899;-54.37832;-0.05933;0.00000;0.00000;;
Circle;Circle170;Y;45.38282;45.34654;0.03627;0.00000;0.00000;;
Circle;Circle171;X;-42.24464;-42.29536;-0.05072;0.00000;0.00000;;
Circle;Circle171;Y;52.36083;52.32371;0.03712;0.00000;0.00000;;
Circle;Circle172;X;-54.34740;-54.37819;-0.03079;0.00000;0.00000;;
Circle;Circle172;Y;24.46311;24.41594;0.04717;0.00000;0.00000;;
Circle;Circle173;X;-66.44103;-66.44999;-0.00896;0.00000;0.00000;;
Circle;Circle173;Y;-10.41130;-10.45143;-0.04013;0.00000;0.00000;;
Circle;Circle174;X;-48.31963;-48.33601;-0.01638;0.00000;0.00000;;
Circle;Circle174;Y;-6.94754;-6.97912;-0.03159;0.00000;0.00000;;
Circle;Circle175;X;-78.54518;-78.54999;-0.00480;0.00000;0.00000;;
Circle;Circle175;Y;-10.40623;-10.45150;-0.04527;0.00000;0.00000;;
Circle;Circle176;X;0.07133;-0.00042;-0.07175;0.00000;0.00000;;
Circle;Circle176;Y;62.80680;62.78896;0.01784;0.00000;0.00000;;
Circle;Circle177;X;-54.37323;-54.37986;-0.00663;0.00000;0.00000;;
Circle;Circle177;Y;-31.37229;-31.39636;-0.02407;0.00000;0.00000;;
Circle;Circle178;X;-24.15190;-24.14968;0.00223;0.00000;0.00000;;
Circle;Circle178;Y;-62.78118;-62.80118;-0.02000;0.00000;0.00000;;
Circle;Circle179;X;18.14669;18.12526;0.02143;0.00000;0.00000;;
Circle;Circle179;Y;-52.32354;-52.32593;-0.00239;0.00000;0.00000;;
Circle;Circle180;X;12.11644;12.08507;0.03136;0.00000;0.00000;;
Circle;Circle180;Y;-20.92876;-20.93097;-0.00220;0.00000;0.00000;;
Circle;Circle181;X;-42.27622;-42.29399;-0.01777;0.00000;0.00000;;
Circle;Circle181;Y;-10.43894;-10.46629;-0.02735;0.00000;0.00000;;
Circle;Circle182;X;-6.02207;-6.04999;-0.02792;0.00000;0.00000;;
Circle;Circle182;Y;-10.43561;-10.45107;-0.01546;0.00000;0.00000;;
Circle;Circle183;X;54.41037;54.37826;0.03211;0.00000;0.00000;;
Circle;Circle183;Y;-52.33950;-52.32572;0.01378;0.00000;0.00000;;
Circle;Circle184;X;60.45934;60.42020;0.03914;0.00000;0.00000;;
Circle;Circle184;Y;-41.87791;-41.86068;0.01723;0.00000;0.00000;;
Circle;Circle185;X;-78.52717;-78.54511;-0.01795;0.00000;0.00000;;
Circle;Circle185;Y;10.51375;10.46350;0.05025;0.00000;0.00000;;
Circle;95_110_111;X;84.66609;84.59995;0.06614;0.00000;0.00000;;
Circle;95_110_111;Y;-0.02513;-0.00004;0.02510;0.00000;0.00000;;
Circle;62;X;36.81045;36.74609;0.06436;0.00000;0.00000;;
Circle;62;Y;27.89998;27.89968;0.00030;0.00000;0.00000;;
Circle;14;X;0.56758;0.49394;0.07364;0.00000;0.00000;;
Circle;14;Y;69.78970;69.76346;0.02624;0.00000;0.00000;;
Circle;70;X;-41.76599;-41.79975;-0.03376;0.00000;0.00000;;
Circle;70;Y;17.47199;17.43791;0.03407;0.00000;0.00000;;
Circle;143;X;-59.92548;-59.92544;0.00003;0.00000;0.00000;;
Circle;143;Y;-34.85069;-34.88739;-0.03670;0.00000;0.00000;;
Circle;163;X;6.55447;6.53652;0.01795;0.00000;0.00000;;
Circle;163;Y;-45.32911;-45.35210;-0.02299;0.00000;0.00000;;
Circle;154;X;60.95412;60.91446;0.03966;0.00000;0.00000;;
Circle;154;Y;-34.90554;-34.88668;0.01887;0.00000;0.00000;;
Point;TP5;X;-41.76370;-41.79156;-0.02786;0.00000;0.00000;;
Point;TP5;Y;-82.58897;-82.58794;0.00103;0.00000;0.00000;;
Point;TP4;X;41.98430;41.82644;0.15786;0.00000;0.00000;;
Point;TP4;Y;-82.60815;-82.87554;-0.26739;0.00000;0.00000;;
Point;TP3;X;92.44511;92.20407;0.24104;0.00000;0.00000;;
Point;TP3;Y;5.18937;5.18955;-0.00018;0.00000;0.00000;;
Point;TP1;X;50.82234;50.82328;-0.00094;0.00000;0.00000;;
Point;TP1;Y;77.54754;77.54691;0.00063;0.00000;0.00000;;
Point;TP2;X;-50.39864;-50.30491;0.09373;0.00000;0.00000;;
Point;TP2;Y;77.53900;77.52966;0.00934;0.00000;0.00000;;
Point;TP6;X;-92.42064;-92.10155;0.31909;0.00000;0.00000;;
Point;TP6;Y;5.29299;4.91459;0.37840;0.00000;0.00000;;
End!
